Model Name,Param Name,File Size(Bytes),Comp Ratio(BDI1B),Comp Ratio(BDI2B),Comp Ratio(BDIZV)
GoogLeNet_Imagenet_output,ConvReLU2d_19_output0,30105,1.2145315796380223,1.0161475575974592,1.8962365252474296
GoogLeNet_Imagenet_output,ConvReLU2d_19_output1,30105,1.2246559726406638,1.0201105571946956,1.9103112670577667
GoogLeNet_Imagenet_output,ConvReLU2d_19_output2,30105,1.2305741213289623,1.0250119266680293,1.8835611077192802
GoogLeNet_Imagenet_output,ConvReLU2d_1_output0,642252,1.3832908889572737,1.0285475433385995,1.8141104541419775
GoogLeNet_Imagenet_output,ConvReLU2d_1_output1,642252,1.4453390045065573,1.0286579188672975,1.7722667327109032
GoogLeNet_Imagenet_output,ConvReLU2d_1_output2,642252,1.4336262295740658,1.0436792032000701,1.9077627995314064
GoogLeNet_Imagenet_output,ConvReLU2d_20_output0,40140,1.2485036577255593,1.0358687094234413,1.9201722642581562
GoogLeNet_Imagenet_output,ConvReLU2d_20_output1,40140,1.2583698860496015,1.0404615284890124,1.9645309344593345
GoogLeNet_Imagenet_output,ConvReLU2d_20_output2,40140,1.2360864040660733,1.0235820781307787,1.8567140353616842
GoogLeNet_Imagenet_output,ConvReLU2d_21_output0,100352,1.2062136494147093,1.0005284200241278,1.9165272111360707
GoogLeNet_Imagenet_output,ConvReLU2d_21_output1,100352,1.2168100750108748,1.0011672569461763,1.947892251774856
GoogLeNet_Imagenet_output,ConvReLU2d_21_output2,100352,1.2292521891981691,1.0042028579434015,1.9970845336000034
GoogLeNet_Imagenet_output,ConvReLU2d_22_output0,70246,1.2225528330347675,1.0018622239663229,2.203666866763183
GoogLeNet_Imagenet_output,ConvReLU2d_22_output1,70246,1.234231066732297,1.0041836216575721,2.230020050423837
GoogLeNet_Imagenet_output,ConvReLU2d_22_output2,70246,1.2359421004220557,1.0032078990047653,2.1591914718579766
GoogLeNet_Imagenet_output,ConvReLU2d_23_output0,140492,1.3236487497158578,1.0164647316114888,2.8524437044406983
GoogLeNet_Imagenet_output,ConvReLU2d_23_output1,140492,1.3434866289703649,1.030437062872945,2.8874603688459297
GoogLeNet_Imagenet_output,ConvReLU2d_23_output2,140492,1.344093994728105,1.0192672565472758,2.874079984451161
GoogLeNet_Imagenet_output,ConvReLU2d_24_output0,15052,1.1925387039863606,1.0015649452269162,1.5961158351352405
GoogLeNet_Imagenet_output,ConvReLU2d_24_output1,15052,1.2038139451120058,1.0027000900029992,1.5827830250730068
GoogLeNet_Imagenet_output,ConvReLU2d_24_output2,15052,1.2007864192972113,0.998439937597503,1.559054097829606
GoogLeNet_Imagenet_output,ConvReLU2d_25_output0,40140,1.3027672603757041,1.06039505846601,2.5309765212318056
